First Name,Last Name,P1,L1,Q1,B1,Q2,P2,L2,B2,L3,Q3,B3,E1,E2,P3,Q4,L4,B4,L5,Q5,L6,Q6,P4,B5,E3,B6,E4,Q7,L7,B7,P5,Q8,L8,L9,Q9,P6,E5,E6,B8,Q10,L10,B9,Q11,B10,E7,E8
Lloyd,Gibbon,100,100,10,100,10,100,95,100,86,10,100,50,50,100,10,100,100,100,10,95,10,100,100,50,100,50,10,100,100,100,10,100,70,10,89,44,50,100,10,100,100,10,100,75,75
Eleonora,Schlosser,97,32,7.5,99.2,9,97,85,95.9,54,,93.5,20,4,82,1,90,93.5,90,9,100,6.25,97,87.3,50,94.9,42,10,100,97.6,100,6,100,100,8,5,44,42,97.6,2,100,100,2.5,54,60,75
Judith,Tignor,3,100,10,99.2,10,100,95,100,86,10,100,45,50,20,10,62,100,100,6,86,10,100,100,32,100,46,6,100,100,96,10,100,100,10,95,44,50,100,10,100,100,6.25,100,70,75
Maida,Mood,100,100,10,100,10,100,100,100,90,10,100,50,50,70,10,100,100,100,10,79,10,100,100,41,100,50,10,100,100,100,10,100,90,10,92,44,50,100,10,100,100,,100,75,75
Kayla,Bruner,100,100,10,100,10,88,95,100,86,10,100,50,50,80,10,30,100,100,9,100,7.5,75,100,50,100,29,7,100,100,3,10,100,100,10,74,44,39,100,7,100,100,8.75,100,53,69
Tajuana,Galloway,93,100,8.5,100,9,100,90,100,86,10,100,50,40,100,9.5,100,100,100,8,100,2.5,96,100,31,100,50,9.5,100,100,65,10,100,90,5,69,32,41,100,8,50,100,3.75,100,50,75
Shantae,Carcamo,100,100,10,100,10,100,100,100,100,10,100,50,50,100,10,100,100,100,8,86,10,100,100,50,100,50,10,100,100,100,10,100,100,10,100,50,50,100,6,100,100,10,100,75,69
Gayle,Tash,100,100,10,100,10,100,100,100,100,10,100,42,50,96,10,100,100,100,,100,7.5,100,100,44,100,16,10,90,100,100,10,100,100,10,95,50,45,100,10,100,100,,0,75,69
Keneth,Cuesta,100,100,10,99.7,10,100,95,100,100,3,100,42,46,25,10,100,100,100,10,96,7.5,85,100,26,100,50,10,100,100,96,10,100,100,5,34,44,50,100,6,,100,10,100,75,75
Evangelina,Bozeman,100,100,9.5,100,10,100,95,100,93,9,100,50,50,25,10,100,100,100,8,65,6.25,100,100,50,100,50,10,100,100,100,10,100,100,10,97,50,50,100,2,100,100,10,100,55,51
Owen,Moniz,100,100,9.5,10.7,9,100,96,97.9,100,10,100,42,50,100,10,100,100,100,10,100,10,90,100,50,93.2,50,10,100,100,97,10,100,100,7,96,50,38,100,10,100,100,10,46,75,75
Aurelio,Alton,100,100,10,100,10,100,80,100,86,9.5,100,50,40,100,10,72,100,70,10,86,6.25,100,100,50,100,50,10,100,100,52,10,100,100,10,72,44,45,100,9,100,100,7.5,100,75,75
Marcene,Rothenberg,100,100,10,100,10,100,100,100,86,9.5,100,50,50,85,10,58,100,100,5,100,6.25,0,100,6,100,38,10,100,100,10,8,100,100,10,88,20,50,100,2,100,100,3.75,100,50,33
Sharla,Mattocks,100,90,10,98.6,10,100,100,100,100,7,100,50,50,95,10,100,100,70,10,100,8.75,96,100,44,100,50,10,100,100,100,10,100,100,10,91,50,50,100,10,60,100,10,100,30,74
Rob,Pauls,100,100,10,100,9,96,100,100,100,10,100,50,50,100,10,93,100,100,10,100,8.75,90,100,50,100,50,10,100,100,100,10,100,100,10,100,50,50,100,10,100,100,10,100,75,75
Calandra,Ungar,100,100,10,100,10,97,80,100,100,10,100,50,50,80,10,100,100,100,10,100,,100,100,38,100,50,10,100,100,100,10,100,100,10,89,50,50,100,7,100,100,8.73,100,75,63
Deloris,Schoenborn,100,100,9.5,99.2,10,93,100,99,86,7,96.3,50,20,82,9,100,85.6,100,8,72,6.25,,95.2,50,0,41,10,100,100,100,9,90,95,5,58,39,42,100,4,100,100,10,0,55,75
Brigette,Finney,94,86,10,87.9,8,91,91,98.5,54,5.5,100,45,50,12,9,96,100,65,6,79,8.75,100,97.6,14,100,50,8,100,100,100,10,100,40,10,77,44,38,100,6,,100,10,100,75,75
Milissa,Mobley,100,100,9.5,100,10,96,95,100,100,9,100,50,50,81,10,100,100,100,6,86,10,100,100,50,100,50,10,100,100,100,10,100,100,10,93,50,50,100,10,100,100,10,100,75,63
Huong,Letson,97,100,10,100,10,100,95,99.5,86,10,100,50,35,40,10,98,100,15,10,79,10,0,98.8,32,100,50,9,100,100,60,10,100,90,10,53,50,50,100,10,100,100,8.75,100,70,75
Ella,Wike,100,100,10,99.2,10,100,100,99.5,100,10,100,50,46,100,10,100,100,100,9,100,7.5,95,100,50,100,50,10,100,100,76,10,100,100,10,100,50,50,100,6.5,100,100,7.5,100,75,75
Buster,Kisner,96,100,10,100,10,100,100,100,72,7,100,42,50,100,10,100,100,100,7,72,10,95,100,50,100,50,10,100,100,91,9.5,100,100,10,100,50,50,100,2,50,100,10,100,65,57
Stormy,Beaufort,100,100,10,96.1,10,90,100,96.4,,,96.3,50,35,,,,0,100,8.5,86,8.75,100,91.5,32,0,50,10,100,100,100,10,100,100,,,44,50,100,2,100,100,10,100,75,69
Graig,Reel,100,100,10,100,10,100,100,100,100,10,100,50,50,70,9,100,100,100,9,86,7.5,100,100,45,100,40,10,100,100,100,10,100,100,10,92,50,50,100,10,100,100,10,100,75,75
Rosy,Hammontree,100,100,7.5,98.9,10,100,100,100,86,10,100,50,50,21,10,100,100,80,,79,7.5,90,100,50,100,50,10,100,100,97,10,,100,,90,50,50,100,7,100,100,10,100,75,75
Armand,Bladen,97,100,7,100,9,100,80,100,93,8,100,41,50,85,4.5,58,100,100,9,72,7.5,70,100,50,100,50,4,100,100,58,10,100,100,5,55,44,50,100,4,100,100,10,100,70,57
Francisco,Masters,100,100,10,100,9,100,95,100,100,5,100,50,25,10,10,37,100,60,9,79,7.5,100,100,20,100,50,5,100,100,93,6.5,100,100,5,74,14,49,100,7,100,100,10,100,55,75
Aleida,Francoeur,100,90,9.5,100,10,100,100,100,86,9.5,100,50,50,10,10,56,100,100,8,86,10,22,100,13,100,50,10,73,100,7,8,100,100,10,0,44,50,100,4,80,100,6.25,100,55,51
Nicola,Alto,100,100,10,100,10,100,96,100,100,5,100,42,50,70,10,100,100,100,10,100,8.75,95,100,50,100,50,10,100,100,98,10,100,100,10,89,50,50,100,10,100,100,10,100,75,75
Dimple,Whitson,100,90,6.5,100,10,100,100,98.5,100,10,100,50,50,85,10,100,100,100,8,100,10,100,100,50,98.3,50,10,70,100,100,10,100,100,10,92,50,50,100,10,10,100,10,100,75,75
Major,Witherite,93,92,10,99.4,9,100,95,100,93,9.5,100,50,50,85,10,98,100,100,10,72,8.75,25,100,32,100,38,6,,100,100,10,90,100,10,91,50,45,100,6,100,100,8.75,100,75,69
Louanne,Fisch,97,80,10,98.3,10,94,41,97.4,100,9.5,100,15,35,25,3,70,100,85,4,50,7.5,100,100,0,100,38,9.5,100,100,95,10,100,95,10,58,32,50,100,4,100,100,6.25,100,75,2
Lan,Mazon,97,100,10,100,10,100,95,100,79,10,100,42,49,65,10,100,100,100,7,86,7.5,100,100,50,100,50,10,100,100,97,10,100,100,10,49,44,50,100,7,80,100,8.75,100,55,69
Elias,Kasel,100,0,10,98.3,10,100,90,100,77,10,100,49,35,7,,,100,100,6,86,7.5,0,97.6,1,100,38,10,,100,94,7,100,95,10,28,0,50,100,5,100,100,10,98,60,31
Kaley,Pawlak,90,95,10,100,10,94,100,100,97,10,100,50,50,96,10,100,100,90,10,86,10,95,100,49,100,50,8,100,100,60,8,100,90,10,100,49,50,100,10,100,100,10,100,75,69
